PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Schramm Christian,2397,Hertneck Gerald,2465,BLACK
Velickovic Zoran,2398,Kaspret Guido,2308,WHITE
Wuppinger Manfred,2073,Harringer Franz,2239,WHITE
Wieneroiter Gerald,2140,Kuess Mario,2010,WHITE
Baier Patrick,1954,Kliegl Severin,1906,WHITE
