PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Drabke Lorenz,2462,Spornberger Maximilian,2347,Drabke, Lorenz
Gatterer Florian,2223,Novkovic Milan,2380,DRAW
Schmidlechner Alexander,2217,Spornberger Andre,2108,Spornberger, Andre
Proyer Enno,1906,Hoellrigl Wilfried,2153,Proyer, Enno
Jedinger Andreas,2105,Ausserer Felix,1901,Jedinger, Andreas
