PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Krassowizkij Jaroslaw,2408,Zelcic Robert,2553,BLACK
Krstic Uros,2428,Eisenbeiser Amadeus,2365,DRAW
Anistratov Dmitrij,2305,Brumen Dinko,2359,BLACK
Roeberg Frank,2249,Mittelberger Peter,2203,DRAW
Scheffknecht Philipp,2152,Ljubic Juro,2213,DRAW
Stoeckl Norbert,2094,Natter Markus,2005,WHITE
