PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Drabke Lorenz,2462,Wegener, Olaf
Vogel Roven,2408,Spornberger Maximilian,2347,DRAW
Hengl Christian,2245,Novkovic Milan,2380,DRAW
Schmidlechner Alexander,2217,Gatterer Florian,2223,DRAW
Moroder Stefan,2159,Klocker Benedikt,2192,Moroder, Stefan
Leutwyler Martin,2190,Hoellrigl Wilfried,2153,DRAW
