PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Schramm Christian,2397,Zoister Stefan,2248,WHITE
Riediger Martin,2262,Durakovic Alman,2314,DRAW
Huch Reiner,2277,Knechtel Roland,2258,BLACK
Stadler Alexander,2092,Pflug Mathias,2259,BLACK
Harringer Franz,2239,Kuecher Wolfgang,2077,WHITE
Fruehauf Norbert,1974,Frank Emanuel,2178,BLACK
