PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Drabke Lorenz,2462,Doskocil Klaus,2251,Drabke, Lorenz
Eybl Alexander,2240,Vogel Roven,2408,DRAW
Novkovic Milan,2380,Sucher Johannes,2169,Novkovic, Milan
Matt Stefan,2094,Schmidlechner Alexander,2217,Schmidlechner, Alexander
Klocker Benedikt,2192,Lins Philipp,2044,DRAW
Nedelchev Nikolay,2008,Leutwyler Martin,2190,Leutwyler, Martin
