PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Bertagnolli Alexander,2343,Doskocil Klaus,2251,Bertagnolli, Alexander
Eybl Alexander,2240,Koepke Christian,2322,Eybl, Alexander
Levushkina Elena,2299,Sucher Johannes,2169,Levushkina, Elena
Matt Stefan,2094,Prediger Ruppert,2279,DRAW
Rusche Johannes,2274,Lins Philipp,2044,Rusche, Johannes
Nedelchev Nikolay,2008,Maurer Jochen,2254,Maurer, Jochen
