PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Kessler Luca,2324,Bertagnolli Alexander,2343,Bertagnolli, Alexander
Koepke Christian,2322,Bilchinski Anton,2260,Koepke, Christian
Mittelberger Peter,2203,Levushkina Elena,2299,Levushkina, Elena
Prediger Ruppert,2279,Quintero Ortega Carlos,2190,DRAW
Gauss Gustav,2182,Rusche Johannes,2274,DRAW
Maurer Jochen,2254,Scheffknecht Philipp,2152,DRAW
