PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Berchtenbreiter Maximilian,2427,Lanka Zigurds,2432,DRAW
Kleissl Helmut,2291,Koepke Christian,2336,WHITE
Bertagnolli Alexander,2333,Platzgummer Fabian,2314,DRAW
Tabernig Bernhard,2350,Levushkina Elena,2283,WHITE
Maurer Jochen,2262,Kupfner Franz,2178,WHITE
Schiestl Josef,2102,Neuschmied Siegfried,2221,WHITE
