PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Graf Felix,2478,Froewis Georg,2434,Graf, Felix
Baldauf Marco,2420,Jorczik Julian,2385,Baldauf, Marco
Weindl Alfred,2331,Burschowsky Matthias,2208,Weindl, Alfred
Atlas Dmitry,2220,Dobosz Henryk,2389,Atlas, Dmitry
Bezler Rainer,2215,Hofer Emilian,2219,DRAW
Uhlmann David,2082,Poettinger Harald,2212,Poettinger, Harald
