PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Eybl Alexander,2240,Durakovic Alman,2314,DRAW
Velickovic Zoran,2398,Matt Stefan,2094,DRAW
Lins Philipp,2044,Wieneroiter Gerald,2140,WHITE
Prodinger Johannes,1911,Praxmarer Christian,1992,BLACK
Niedermair Hannes,1990,Jakob Tobias,1883,DRAW
Kliegl Severin,1906,Nussbaumer Leon,1890,BLACK
