PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Krivoborodov Egor,2522,Graf Felix,2478,DRAW
Jorczik Julian,2385,Besner Bernhard,2211,Jorczik, Julian
Roth Peter,2119,Weindl Alfred,2331,DRAW
Dobosz Henryk,2389,Juergens Klaus,2161,Dobosz, Henryk
Loeffler Christoph,2159,Bezler Rainer,2215,DRAW
Poettinger Harald,2212,Herrmann Michael,2103,Poettinger, Harald
