PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Brumen Dinko,2359,Bilchinski Anton,2260,Bilchinski, Anton
Quintero Ortega Carlos,2190,Stajner Samo,2351,Stajner, Samo
Roeberg Frank,2249,Gauss Gustav,2182,DRAW
Gretz Denis,2073,Ruecker Benjamin,2269,Gretz, Denis
Ljubic Juro,2213,Scheffknecht Philipp,2152,DRAW
Ferk Martin,1938,Stoeckl Norbert,2094,Stoeckl, Norbert
