PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Drabke Lorenz,2462,Bertagnolli Alexander,2343,Drabke, Lorenz
Koepke Christian,2322,Vogel Roven,2408,DRAW
Novkovic Milan,2380,Levushkina Elena,2299,Novkovic, Milan
Prediger Ruppert,2279,Schmidlechner Alexander,2217,DRAW
Klocker Benedikt,2192,Rusche Johannes,2274,Klocker, Benedikt
Maurer Jochen,2254,Leutwyler Martin,2190,DRAW
