PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Breder Dennis,2471,Krassowizkij Jaroslaw,2408,BLACK
Eisenbeiser Amadeus,2365,Kessler Luca,2324,DRAW
Novkovic Milan,2380,Becker Matthias,2138,WHITE
Mittelberger Peter,2203,Gaertner Guntram,2226,WHITE
Burschowsky Matthias,2208,Quintero Ortega Carlos,2190,WHITE
Kranz Armin,2131,Sandholzer Robert,2175,WHITE
