PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Palac Mladen,2581,Krivoborodov Egor,2522,DRAW
Westermeier Arnulf,2266,Zelcic Robert,2553,DRAW
Krstic Uros,2428,Harringer Franz,2239,Krstic, Uros
Besner Bernhard,2211,Brumen Dinko,2359,Brumen, Dinko
Biti Ozren,2353,Scheiblmaier Robert,2186,DRAW
Juergens Klaus,2161,Stajner Samo,2351,Stajner, Samo
