PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Bertagnolli Alexander,2343,Froewis Georg,2434,Bertagnolli, Alexander
Baldauf Marco,2420,Koepke Christian,2322,DRAW
Maurer Jochen,2254,Burschowsky Matthias,2208,Maurer, Jochen
Gaertner Guntram,2226,Rusche Johannes,2274,DRAW
Neuschmied Siegfried,2246,Atlas Dmitry,2220,Atlas, Dmitry
Sandholzer Robert,2175,Anibas Juergen,1955,DRAW
