PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Krivoborodov Egor,2522,Krivoborodov, Egor
Westermeier Arnulf,2266,Spornberger Maximilian,2347,DRAW
Hengl Christian,2245,Harringer Franz,2239,Harringer, Franz
Besner Bernhard,2211,Gatterer Florian,2223,Besner, Bernhard
Moroder Stefan,2159,Scheiblmaier Robert,2186,Scheiblmaier, Robert
Juergens Klaus,2161,Hoellrigl Wilfried,2153,Hoellrigl, Wilfried
