PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Kessler Luca,2324,DRAW
Bilchinski Anton,2260,Spornberger Maximilian,2347,Spornberger, Maximilian
Hengl Christian,2245,Mittelberger Peter,2203,DRAW
Quintero Ortega Carlos,2190,Gatterer Florian,2223,Gatterer, Florian
Moroder Stefan,2159,Gauss Gustav,2182,Moroder, Stefan
Scheffknecht Philipp,2152,Hoellrigl Wilfried,2153,DRAW
