PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Bertagnolli Alexander,2343,Zelbel Patrick,2441,Bertagnolli, Alexander
Berchtenbreiter Maximilian,2384,Koepke Christian,2322,Berchtenbreiter, Maximilian
Levushkina Elena,2299,Nuber Blasius,2349,DRAW
Wachinger Guenther,2233,Prediger Ruppert,2279,Prediger, Ruppert
Rusche Johannes,2274,Niedermeier Thomas,2194,DRAW
Meier Alexander,2186,Maurer Jochen,2254,Meier, Alexander
