PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Loetscher Roland,2458,Hertneck Gerald,2465,BLACK
Sulava Nenad,2441,Bertagnolli Alexander,2343,WHITE
Koepke Christian,2322,Gara Anita,2341,DRAW
Wuppinger Manfred,2073,Maurer Jochen,2254,BLACK
Rusche Johannes,2274,Egger Martin,2061,WHITE
Baier Patrick,1954,Neuschmied Siegfried,2246,BLACK
