PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Graf Felix,2482,Berchtenbreiter Maximilian,2427,DRAW
Zelbel Patrick,2395,Weindl Alfred,2344,DRAW
Dobosz Henryk,2371,Koepke Christian,2336,DRAW
Bertagnolli Alexander,2333,Herbrechtsmeier Christof,2290,BLACK
Poettinger Harald,2224,Rusche Johannes,2229,BLACK
Kranewitter Norbert,2047,Mira Helene,2066,DRAW
