PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Bayer Bernhard,2444,Zelcic Robert,2541,WHITE
Krstic Uros,2439,Panteleev Petar,2306,WHITE
Gruber Michael,2205,Ljubic Juro,2227,WHITE
Stoeckl Norbert,2086,Kondrak Christof,2165,BLACK
Binder Moriz,2044,Hajdarevic Dino,2098,DRAW
Huber David,2122,Streiter Gerhard,1993,DRAW
