PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Berchtenbreiter Maximilian,2384,Zelcic Robert,2553,DRAW
Krstic Uros,2428,Nuber Blasius,2349,DRAW
Wachinger Guenther,2233,Brumen Dinko,2359,DRAW
Roeberg Frank,2249,Hajdarevic Dino,2135,DRAW
Heinrich Thomas,2144,Ljubic Juro,2213,DRAW
Stoeckl Norbert,2094,Georgiev Georgi,2107,BLACK
