PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Burschowsky Matthias,2186,Berchtenbreiter Maximilian,2427,BLACK
Koepke Christian,2336,Sucher Johannes,2198,DRAW
Meier Alexander,2165,Bertagnolli Alexander,2333,DRAW
Levushkina Elena,2283,Matt Stefan,2073,DRAW
Lins Philipp,2067,Maurer Jochen,2262,DRAW
Neuschmied Siegfried,2221,Praxmarer Christian,1989,DRAW
