PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Medvegy Zoltan,2516,Lanka Zigurds,2432,BLACK
Maiwald Jens-Uwe,2465,Konnyu Janos,2314,WHITE
Ager Josef,2167,Hausner Ivan,2378,BLACK
Tabernig Bernhard,2350,Riediger Martin,2264,WHITE
Spiesberger Gerhard,2098,Kupfner Franz,2178,DRAW
Kroell Johannes,2200,Kuecher Wolfgang,2079,BLACK
