PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Lanka Zigurds,2422,Kessler Luca,2324,DRAW
Bilchinski Anton,2260,Hausner Ivan,2332,Hausner, Ivan
Tabernig Bernhard,2328,Gretz Denis,2073,DRAW
Jussupow Nadia,2105,Kupfner Franz,2200,Jussupow, Nadia
Schiestl Josef,2128,Kranz Armin,2131,DRAW
Ferk Martin,1938,Kroell Johannes,2196,DRAW
