PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Hertneck Gerald,2465,Wachinger Guenther,2233,WHITE
Niedermeier Thomas,2194,Sulava Nenad,2441,DRAW
Gara Anita,2341,Hajdarevic Dino,2135,WHITE
Meier Alexander,2186,Kaspret Guido,2308,BLACK
Wuppinger Manfred,2073,Heinrich Thomas,2144,DRAW
Georgiev Georgi,2107,Baier Patrick,1954,BLACK
