PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Wegener Olaf,2441,Stajner Samo,2351,Stajner, Samo
Roeberg Frank,2249,Spornberger Maximilian,2347,Roeberg, Frank
Gatterer Florian,2223,Ruecker Benjamin,2269,Gatterer, Florian
Ljubic Juro,2213,Spornberger Andre,2108,DRAW
Hoellrigl Wilfried,2153,Stoeckl Norbert,2094,Hoellrigl, Wilfried
Cardaklija Mirsad,2060,Jedinger Andreas,2105,DRAW
