PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Krivoborodov Egor,2522,Bertagnolli Alexander,2343,Bertagnolli, Alexander
Levushkina Elena,2299,Harringer Franz,2239,Levushkina, Elena
Besner Bernhard,2211,Koepke Christian,2322,Koepke, Christian
Maurer Jochen,2254,Juergens Klaus,2161,Maurer, Jochen
Loeffler Christoph,2159,Neuschmied Siegfried,2246,Loeffler, Christoph
Kranewitter Norbert,2049,Herrmann Michael,2103,DRAW
