PlayerWhite,EloWhite,PlayerBlack,EloBlack,Result
Burschowsky Matthias,2186,Roth Peter,2191,WHITE
Harringer Franz,2264,Sucher Johannes,2198,BLACK
Meier Alexander,2165,Juergens Klaus,2140,WHITE
Besner Bernhard,2201,Matt Stefan,2073,DRAW
Lins Philipp,2067,Loeffler Christoph,2167,BLACK
Pruell Lukas,1975,Praxmarer Christian,1989,DRAW
