PlayerWhite,EloWhite,PlayerBlack,EloBlack,Winner
Froewis Georg,2434,Zelbel Patrick,2441,Zelbel, Patrick
Berchtenbreiter Maximilian,2384,Baldauf Marco,2420,Baldauf, Marco
Studer Noël,2405,Nuber Blasius,2349,DRAW
Wachinger Guenther,2233,Amann Guenter,2347,Amann, Guenter
Gaertner Guntram,2226,Niedermeier Thomas,2194,DRAW
Meier Alexander,2186,Atlas Dmitry,2220,DRAW
